Reporter Identifier	VALUE
A_23_P102917	-0.430322627
A_23_P102925	0.752442584
A_23_P102937	
A_23_P102950	-2.421324234
A_23_P102965	0.704460948
A_23_P102973	0.850115399
A_23_P102988	0.324349518
A_23_P102994	0.166403175
A_23_P103011	-2.258681151
A_23_P103034	0.335465628
A_23_P103041	0.241234736
A_23_P10305	0.382312515
A_23_P103062	1.101585614
A_23_P103070	0.085487442
A_23_P103084	1.647897078
A_23_P103099	-1.803996719
A_23_P103104	3.559680736
A_23_P103110	-0.7969738
A_23_P103120	0.587793562
A_23_P103131	0.480055687
A_23_P103149	-0.287352469
A_23_P103172	-1.443369891
A_23_P103180	-0.836206986
A_23_P103201	0.716459897
A_23_P103226	0.180625046
A_23_P103232	-1.012744752
A_23_P103248	-0.368586109
A_23_P103256	-0.842078752
A_23_P103269	0.227640372
A_23_P103276	0.591686312
A_23_P103282	0.099953343
A_23_P103310	-0.373368702
A_23_P103315	1.039480561
A_23_P103334	2.43894934
A_23_P103349	0.285155552
A_23_P103361	2.001637825
A_23_P103371	-0.369471632
A_23_P103398	-0.525198625
A_23_P103405	-0.443852087
A_23_P103414	0.24981172
A_23_P103424	0.04049966
A_23_P103433	-2.592771682
A_23_P103442	1.080172379
A_23_P103454	0.712201887
A_23_P103465	-0.65216278
A_23_P103476	0.750935334
A_23_P103486	-1.772998638
A_23_P103496	2.210030374
A_23_P103503	1.423993024
A_23_P103511	-2.638232819
A_23_P103522	5.284613705
A_23_P103532	-1.217838767
A_23_P10356	5.595861234
A_23_P103561	-1.658606971
A_23_P103571	0.050493125
A_23_P103588	
A_23_P103601	-0.120928441
A_23_P103617	-2.353493155
A_23_P103628	-1.09982589
A_23_P103631	-2.243097164
A_23_P103661	1.517744921
A_23_P103672	-3.254264053
A_23_P103690	-1.021113565
A_23_P103698	0.859107378
A_23_P103703	-1.356069373
A_23_P103720	-1.452086624
A_23_P10374	1.326235768
A_23_P103743	0.276429323
A_23_P103756	1.970364897
A_23_P103765	4.373091066
A_23_P103775	1.958317202
A_23_P103787	1.112734761
A_23_P103795	-1.401080626
A_23_P1038	-0.56878107
A_23_P103803	3.438038929
A_23_P103812	-3.846191509
A_23_P103824	1.23619361
A_23_P103837	-0.292130271
A_23_P10385	-5.339194689
A_23_P103864	1.725975295
A_23_P103877	-3.892527023
A_23_P103885	-1.022334854
A_23_P103897	0.615052439
A_23_P103905	0.984757504
A_23_P10391	-4.145785839
A_23_P103919	0.99656125
A_23_P103923	-0.531751511
A_23_P103932	4.801335845
A_23_P103942	-0.246890383
A_23_P103951	-0.291707696
A_23_P103968	-0.778371374
A_23_P103981	-1.459316266
A_23_P103996	-0.471388682
A_23_P10401	-1.8763077
A_23_P104012	0.339671892
A_23_P104022	-0.511894094
A_23_P104025	-0.481210149
A_23_P104046	1.719331975
A_23_P104054	-1.071038254
A_23_P104065	-0.82404745
A_23_P104073	-0.678567371
A_23_P104086	1.123210087
A_23_P104098	0.285274458
A_23_P104109	0.010794777
A_23_P104116	-1.69457954
A_23_P104138	-0.074128702
A_23_P104146	-0.657717574
A_23_P104151	-0.113142425
A_23_P104188	-2.678524611
A_23_P104193	-0.816017507
A_23_P104199	-0.773732947
A_23_P104201	-1.170768589
A_23_P104224	-2.645705384
A_23_P104237	0.137907099
A_23_P104252	-4.545644622
A_23_P104275	0.353748654
A_23_P104282	-0.37624696
A_23_P104295	1.161072816
