Reporter Identifier	VALUE
A_23_P17287	0.11875343
A_33_P3264224	-0.3623886
A_33_P3718699	-0.37028122
A_33_P3411372	0.22446203
A_19_P00319177	0.16049957
A_23_P121795	-0.110749245
A_23_P12336	0.49025917
A_19_P00322108	-0.37203217
A_23_P6263	0.17149448
A_23_P115215	0.4488535
A_33_P3352467	-0.2999506
A_23_P210515	0.66013813
A_23_P111804	0.7814522
A_33_P3271121	0.14291
A_23_P68700	-0.30584955
A_23_P116890	0.7124586
A_33_P3266619	-0.38257217
A_23_P101208	0.001194
ERCC-00116_142	-0.20355606
A_19_P00807751	0.5546489
A_23_P44857	2.0240536
A_24_P90097	0.16977549
A_33_P3826460	-0.3829198
A_33_P3375145	0.23860264
A_23_P204472	0.4505005
A_24_P189739	-0.48446894
A_23_P136405	0.57894516
A_23_P110504	0.17277145
A_23_P89431	0.2514534
A_19_P00800047	0.12520838
ERCC-00054_84	-0.25534916
A_33_P3270019	-0.23717546
ERCC-00130_136	-0.057296753
A_19_P00329308	0.036512375
A_23_P105002	0.3364153
A_23_P62270	0.1802578
A_33_P3275381	-1.0104942
A_23_P16976	0.27122784
A_19_P00805263	0.13386345
A_23_P116037	0
A_33_P3294868	0.18306875
A_23_P10077	-0.040714264
A_33_P3209346	1.0159211
A_23_P144337	-0.8606806
A_19_P00316471	0.7324877
A_23_P356484	-0.004159927
A_23_P201764	0
A_33_P3329133	-0.3832817
A_33_P3357516	-0.37062025
A_32_P9842	0.069931984
A_23_P113237	0.82623196
A_23_P33809	0.6319008
A_23_P367071	1.3402429
A_32_P405902	-0.5171838
A_23_P5002	0.7240052
A_33_P3279831	0.11320114
A_23_P45524	0
A_33_P3421351	-0.37555313
A_19_P00810404	-0.3608408
A_19_P00320982	0.9561696
A_23_P105862	-0.97221375
A_24_P67408	0.12187004
A_24_P111406	-0.3129444
A_33_P3321871	0.23661137
A_23_P154643	0.5680556
A_23_P74001	0.09333372
A_23_P254917	0.7066593
A_33_P3632866	0.702065
A_23_P206724	-0.007528305
A_23_P150009	0.50754166
A_23_P47800	0.4454937
ERCC-00022_66	-8.89E-04
A_23_P100991	-0.17715788
A_23_P215787	0.17646408
A_23_P19313	0.20987606
A_33_P3349521	0.19148827
A_33_P3376644	-0.01611948
A_24_P198629	-0.16388321
A_33_P3383936	0
A_23_P142322	0.075380325
A_23_P85164	-0.41274452
A_19_P00322222	-0.34303236
A_33_P3269024	-0.32853222
3xSLv1	-0.17397404
A_23_P250800	-0.1729765
A_19_P00807882	-0.31885624
A_33_P3300332	0.023128033
A_19_P00800990	-0.5662513
A_23_P252211	0.006844521
A_23_P38219	0
A_23_P253602	0.22534895
A_19_P00808588	-0.24007177
A_23_P96331	0.9267521
A_23_P24457	-0.2877345
ERCC-00002_129	0.15077305
A_33_P3504659	-0.09734154
A_23_P11081	0.12777567
A_23_P213255	-0.40416145
A_23_P38505	0.7802267
A_23_P75402	0.606699
A_33_P3350863	0.19779348
A_32_P737629	-0.33709335
A_23_P121182	0.20927906
A_24_P173234	0.15403128
A_33_P3330418	-0.14597082
A_23_P12241	0
A_33_P3671729	0
