Reporter Identifier	VALUE
GT_44k_23_P102183	1.8978958
GT_44k_23_P102192	-0.5062151
GT_44k_23_P102202	4.387411
GT_44k_23_P102235	4.5523214
GT_44k_23_P102242	0.71401215
GT_44k_23_P102258	4.2070217
GT_44k_23_P102262	3.7014427
GT_44k_23_P102278	-8.364505
GT_44k_23_P102286	-8.12293
GT_44k_23_P10232	-1.696146
GT_44k_23_P102320	2.5214558
GT_44k_23_P102331	-8.368886
GT_44k_23_P102351	-2.7665253
GT_44k_23_P102364	-1.6258955
GT_44k_23_P102391	-5.8223314
GT_44k_23_P102404	4.884116
GT_44k_23_P102412	0.8683891
GT_44k_23_P102420	7.392254
GT_44k_23_P102439	-3.6627188
GT_44k_23_P102454	-0.5067711
GT_44k_23_P102462	-6.4869814
GT_44k_23_P102471	2.7660646
GT_44k_23_P102481	-8.358969
GT_44k_23_P102494	-2.5660796
GT_44k_23_P102508	0.37981033
GT_44k_23_P102517	0.4333849
GT_44k_23_P102523	-2.7135692
GT_44k_23_P102542	1.5545187
GT_44k_23_P102551	-8.023718
GT_44k_23_P102571	5.794442
GT_44k_23_P102575	3.186719
GT_44k_23_P102582	5.609804
GT_44k_23_P102607	-5.7987013
GT_44k_23_P102611	-7.5864725
GT_44k_23_P102622	-2.8070874
GT_44k_23_P102634	-7.553199
GT_44k_23_P102681	-5.0535655
GT_44k_23_P102694	-6.148362
GT_44k_23_P102706	-5.5943604
GT_44k_23_P102731	0.82623196
GT_44k_23_P102743	-3.2118516
GT_44k_23_P102759	-3.7177558
GT_44k_23_P102769	0.06487274
GT_44k_23_P102770	3.1647797
GT_44k_23_P102816	-2.8910928
GT_44k_23_P102832	0.5486326
GT_44k_23_P102842	1.7524567
GT_44k_23_P102864	-8.051137
GT_44k_23_P102876	5.049144
GT_44k_23_P102884	-3.525082
GT_44k_23_P102890	5.957094
GT_44k_23_P1029	-6.2165394
GT_44k_23_P10291	-3.4113107
GT_44k_23_P102917	-8.33639
GT_44k_23_P102919	-8.198969
GT_44k_23_P102925	0.8964071
GT_44k_23_P102937	3.9009933
GT_44k_23_P102950	-3.0177217
GT_44k_23_P102965	1.3335104
GT_44k_23_P102973	-0.45972633
GT_44k_23_P102988	-2.8236957
GT_44k_23_P102994	2.3609104
GT_44k_23_P103011	-1.1678562
GT_44k_23_P103034	-6.659937
GT_44k_23_P103041	-4.953786
GT_44k_23_P10305	-2.5861235
GT_44k_23_P103062	-1.129797
GT_44k_23_P103070	2.3088245
GT_44k_23_P103084	-1.2348633
GT_44k_23_P103099	-2.4163437
GT_44k_23_P103104	1.4167786
GT_44k_23_P103110	-0.23043156
GT_44k_23_P103120	2.669711
GT_44k_23_P103131	3.4275465
GT_44k_23_P103149	4.2886724
GT_44k_23_P103172	1.3671923
GT_44k_23_P103180	1.3394098
GT_44k_23_P103201	2.693737
GT_44k_23_P103226	-4.8458486
GT_44k_23_P103232	5.422659
